2026-06-13 21:49:50 [INFO   ] __main__ | app.py:329 | 多智能体数据查询系统 Web API 启动中...
2026-06-13 21:49:50 [INFO   ] __main__ | app.py:330 | 访问地址: http://localhost:5001
2026-06-13 21:50:17 [INFO   ] __main__ | app.py:329 | 多智能体数据查询系统 Web API 启动中...
2026-06-13 21:50:17 [INFO   ] __main__ | app.py:330 | 访问地址: http://localhost:5001
2026-06-13 21:50:42 [WARNING] agents.search_agent | search_agent.py:50 | 未配置 TAVILY_API_KEY，联网搜索功能不可用。请在环境变量中设置 TAVILY_API_KEY 或在 config.yaml 中配置。申请地址：https://tavily.com
2026-06-13 21:50:46 [DEBUG  ] agents.master_agent | master_agent.py:677 | 意图识别 LLM 原始返回: 'sql_and_analysis'
2026-06-13 21:58:52 [DEBUG  ] agents.master_agent | master_agent.py:677 | 意图识别 LLM 原始返回: 'sql_and_analysis'
2026-06-13 22:10:52 [INFO   ] __main__ | app.py:329 | 信用卡刷卡金数据分析系统 Web API 启动中...
2026-06-13 22:10:52 [INFO   ] __main__ | app.py:330 | 访问地址: http://localhost:5001
2026-06-13 22:11:05 [WARNING] agents.search_agent | search_agent.py:50 | 未配置 TAVILY_API_KEY，联网搜索功能不可用。请在环境变量中设置 TAVILY_API_KEY 或在 config.yaml 中配置。申请地址：https://tavily.com
2026-06-14 07:15:20 [DEBUG  ] agents.master_agent | master_agent.py:677 | 意图识别 LLM 原始返回: 'simple_answer'
2026-06-15 15:00:08 [DEBUG  ] agents.master_agent | master_agent.py:677 | 意图识别 LLM 原始返回: 'simple_answer'
2026-06-15 15:00:25 [DEBUG  ] agents.master_agent | master_agent.py:677 | 意图识别 LLM 原始返回: 'sql_and_analysis'
2026-06-15 15:01:22 [DEBUG  ] agents.master_agent | master_agent.py:677 | 意图识别 LLM 原始返回: 'sql_and_analysis'
2026-06-15 15:03:49 [INFO   ] __main__ | app.py:329 | 信用卡刷卡金数据分析系统 Web API 启动中...
2026-06-15 15:03:49 [INFO   ] __main__ | app.py:330 | 访问地址: http://localhost:5001
2026-06-15 15:04:04 [INFO   ] __main__ | app.py:329 | 信用卡刷卡金数据分析系统 Web API 启动中...
2026-06-15 15:04:04 [INFO   ] __main__ | app.py:330 | 访问地址: http://localhost:5001
2026-06-15 15:04:14 [INFO   ] __main__ | app.py:329 | 信用卡刷卡金数据分析系统 Web API 启动中...
2026-06-15 15:04:14 [INFO   ] __main__ | app.py:330 | 访问地址: http://localhost:5001
2026-06-15 15:04:30 [INFO   ] __main__ | app.py:330 | 信用卡刷卡金数据分析系统 Web API 启动中...
2026-06-15 15:04:30 [INFO   ] __main__ | app.py:331 | 访问地址: http://localhost:5001
2026-06-15 15:04:39 [INFO   ] __main__ | app.py:330 | 信用卡刷卡金数据分析系统 Web API 启动中...
2026-06-15 15:04:39 [INFO   ] __main__ | app.py:331 | 访问地址: http://localhost:5001
2026-06-15 15:04:55 [WARNING] agents.search_agent | search_agent.py:50 | 未配置 TAVILY_API_KEY，联网搜索功能不可用。请在环境变量中设置 TAVILY_API_KEY 或在 config.yaml 中配置。申请地址：https://tavily.com
2026-06-15 15:04:58 [DEBUG  ] agents.master_agent | master_agent.py:677 | 意图识别 LLM 原始返回: 'sql_and_analysis'
2026-06-16 17:43:58 [INFO   ] __main__ | app.py:330 | 信用卡刷卡金数据分析系统 Web API 启动中...
2026-06-16 17:43:58 [INFO   ] __main__ | app.py:331 | 访问地址: http://localhost:5001
2026-06-16 17:44:00 [INFO   ] __main__ | app.py:330 | 信用卡刷卡金数据分析系统 Web API 启动中...
2026-06-16 17:44:00 [INFO   ] __main__ | app.py:331 | 访问地址: http://localhost:5001
2026-06-16 17:44:09 [WARNING] agents.search_agent | search_agent.py:50 | 未配置 TAVILY_API_KEY，联网搜索功能不可用。请在环境变量中设置 TAVILY_API_KEY 或在 config.yaml 中配置。申请地址：https://tavily.com
2026-06-16 17:44:12 [DEBUG  ] agents.master_agent | master_agent.py:677 | 意图识别 LLM 原始返回: 'sql_only'
